rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
95,Marcus Foligno,33,MIN,LW,6,3,1,4,4,6,2,0,1,0,1,0,0,10,30.0,96,16:04,3,42,1,4,20.0,2025-06-18
96,Gustav Forsling,28,FLA,D,23,1,4,5,13,8,1,0,0,1,3,1,0,31,3.2,535,23:17,35,32,0,0,,2025-06-18
97,Cam Fowler,33,STL,D,7,2,8,10,2,0,2,0,0,1,3,5,0,12,16.7,163,23:17,9,2,0,0,,2025-06-18
98,Trent Frederic,26,EDM,C,22,1,3,4,1,25,1,0,0,1,3,0,0,22,4.5,251,11:24,15,85,12,9,57.1,2025-06-18
99,Jonah Gadjovich,26,FLA,LW,16,2,1,3,3,33,2,0,0,0,1,0,0,10,20.0,122,7:37,11,63,0,0,,2025-06-18
100,Brendan Gallagher,32,MTL,RW,5,0,2,2,-7,0,0,0,0,0,1,1,0,13,0.0,78,15:37,1,16,0,1,0.0,2025-06-18
101,Adam Gaudette,28,OTT,C,6,1,2,3,2,4,1,0,0,0,1,0,1,4,25.0,56,9:17,5,9,9,17,34.6,2025-06-18
102,Frédérick Gaudreau,31,MIN,C,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,87,14:27,6,8,22,34,39.3,2025-06-18
103,Vladislav Gavrikov,29,LAK,D,6,0,2,2,-1,2,0,0,0,0,2,0,0,5,0.0,126,21:00,10,4,0,0,,2025-06-18
104,Conor Geekie,20,TBL,C,4,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,49,12:22,3,8,1,1,50.0,2025-06-18
105,Samuel Girard,26,COL,D,7,1,2,3,2,0,1,0,0,0,2,0,0,7,14.3,123,17:38,8,9,0,0,,2025-06-18
106,Zemgus Girgensons,31,TBL,C,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,55,10:56,0,13,2,5,28.6,2025-06-18
107,Claude Giroux,37,OTT,C,6,1,4,5,3,0,0,1,0,0,3,1,0,7,14.3,105,17:30,1,7,29,35,45.3,2025-06-18
108,Cody Glass,25,NJD,C,5,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,70,14:06,4,9,27,25,51.9,2025-06-18
109,Luke Glendening,35,TBL,C,5,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,49,9:43,5,13,31,27,53.4,2025-06-18
110,Gage Goncalves,24,TBL,C,5,1,3,4,-2,2,1,0,0,0,3,0,0,4,25.0,85,16:54,4,15,1,0,100.0,2025-06-18
111,Shayne Gostisbehere,31,CAR,D,15,3,6,9,-9,4,2,1,0,0,1,5,0,24,12.5,284,18:56,16,12,0,0,,2025-06-18
112,Yanni Gourde,33,TBL,C,5,0,1,1,-3,0,0,0,0,0,1,0,0,2,0.0,73,14:31,6,9,5,7,41.7,2025-06-18
113,Mikael Granlund,32,DAL,C,18,5,5,10,-2,8,2,3,0,1,2,3,0,29,17.2,314,17:27,16,40,26,22,54.2,2025-06-18
114,A.J. Greer,28,FLA,LW,16,2,1,3,-2,22,2,0,0,1,1,0,0,12,16.7,122,7:38,9,53,5,4,55.6,2025-06-18
115,Ridly Greig,22,OTT,C,6,1,0,1,-1,8,1,0,0,0,0,0,0,9,11.1,108,18:01,2,11,3,4,42.9,2025-06-18
116,Jake Guentzel,30,TBL,C,5,3,3,6,-3,6,1,2,0,0,3,0,0,16,18.8,114,22:45,2,6,10,11,47.6,2025-06-18
117,Kaiden Guhle,23,MTL,D,5,0,0,0,-3,4,0,0,0,0,0,0,0,6,0.0,109,21:48,3,15,0,0,,2025-06-18
118,David Gustafsson,24,WPG,C,4,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,29,7:18,2,2,3,3,50.0,2025-06-18
119,Brandon Hagel,26,TBL,LW,3,0,0,0,-4,5,0,0,0,0,0,0,0,3,0.0,53,17:43,2,5,0,1,0.0,2025-06-18
120,Nicolas Hague,26,VEG,D,11,0,2,2,-2,9,0,0,0,0,2,0,0,11,0.0,178,16:13,18,22,0,0,,2025-06-18
121,Taylor Hall,33,CAR,LW,15,2,4,6,-7,2,2,0,0,1,2,2,0,30,6.7,223,14:50,5,19,0,6,0.0,2025-06-18
122,Dougie Hamilton,31,NJD,D,5,0,2,2,-3,6,0,0,0,0,2,0,0,10,0.0,125,25:01,7,11,0,0,,2025-06-18
123,Noah Hanifin,28,VEG,D,11,1,4,5,1,2,1,0,0,0,4,0,0,26,3.8,254,23:03,21,18,0,0,,2025-06-18
124,Thomas Harley,23,DAL,D,18,4,10,14,-10,10,3,1,0,1,3,7,0,31,12.9,467,25:58,39,22,0,0,,2025-06-18
125,Ryan Hartman,30,MIN,RW,6,2,4,6,1,2,2,0,0,0,3,1,0,18,11.1,105,17:26,11,5,40,46,46.5,2025-06-18
126,Erik Haula,33,NJD,LW,5,0,1,1,-1,2,0,0,0,0,1,0,0,9,0.0,93,18:36,3,20,31,21,59.6,2025-06-18
127,Victor Hedman,34,TBL,D,5,0,3,3,-6,0,0,0,0,0,1,2,0,10,0.0,123,24:32,6,3,0,0,,2025-06-18
128,Emil Heineman,23,MTL,LW,5,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,45,9:04,4,16,1,2,33.3,2025-06-18
129,Miro Heiskanen,25,DAL,D,8,1,3,4,-4,0,0,1,0,0,1,2,0,14,7.1,175,21:49,8,7,0,0,,2025-06-18
130,Samuel Helenius,22,LAK,C,6,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,24,3:58,2,14,6,3,66.7,2025-06-18
131,Adam Henrique,34,EDM,C,22,4,3,7,4,4,4,0,0,1,3,0,0,35,11.4,323,14:41,29,53,176,164,51.8,2025-06-18
132,Tomáš Hertl,31,VEG,C,11,3,2,5,-3,0,3,0,0,0,0,2,0,28,10.7,201,18:17,4,35,78,83,48.4,2025-06-18
133,Matthew Highmore,28,OTT,LW,1,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,9,9:10,1,3,0,0,,2025-06-18
134,Vinnie Hinostroza,30,MIN,C,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,11:57,1,1,0,0,,2025-06-18
135,Roope Hintz,28,DAL,LW,17,6,6,12,-2,10,2,4,0,0,4,2,0,37,16.2,301,17:42,14,14,127,128,49.8,2025-06-18
136,Nico Hischier,26,NJD,C,5,4,0,4,0,0,4,0,0,0,0,0,0,16,25.0,121,24:12,7,11,89,75,54.3,2025-06-18
137,Pontus Holmberg,25,TOR,RW,12,0,1,1,-4,4,0,0,0,0,1,0,0,11,0.0,153,12:43,8,15,6,6,50.0,2025-06-18
138,Brett Howden,26,VEG,C,11,3,0,3,-2,4,2,1,0,2,0,0,0,15,20.0,152,13:50,7,36,23,22,51.1,2025-06-18
139,Luke Hughes,21,NJD,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,22:20,1,0,0,0,,2025-06-18
140,Lane Hutson,20,MTL,D,5,0,5,5,-5,0,0,0,0,0,2,3,0,5,0.0,124,24:50,2,1,0,0,,2025-06-18
141,Zach Hyman,32,EDM,LW,15,5,6,11,10,6,5,0,0,1,5,1,0,30,16.7,265,17:42,7,111,0,0,,2025-06-18
142,Alex Iafallo,31,WPG,C,13,1,1,2,-4,10,1,0,0,0,0,1,0,17,5.9,209,16:07,9,46,2,10,16.7,2025-06-18
143,Mark Jankowski,30,CAR,C,7,0,1,1,0,0,0,0,0,0,1,0,0,6,0.0,81,11:37,4,10,42,30,58.3,2025-06-18
144,Mattias Janmark,32,EDM,C,22,3,1,4,5,14,3,0,0,1,1,0,0,15,20.0,270,12:17,12,31,26,63,29.2,2025-06-18
145,Calle Järnkrok,33,TOR,C,12,0,1,1,-4,2,0,0,0,0,1,0,0,3,0.0,152,12:40,6,22,2,4,33.3,2025-06-18
146,Seth Jarvis,22,CAR,C,15,6,10,16,2,6,4,2,0,0,4,6,0,36,16.7,298,19:53,13,52,6,17,26.1,2025-06-18
147,Nick Jensen,34,OTT,D,6,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,126,20:56,4,8,0,0,,2025-06-18
148,Marcus Johansson,34,MIN,C,5,0,2,2,0,0,0,0,0,0,2,0,0,5,0.0,70,14:02,3,8,1,2,33.3,2025-06-18
149,Erik Johnson,36,COL,D,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,30,14:49,2,5,0,0,,2025-06-18
150,Wyatt Johnston,21,DAL,C,18,4,6,10,-16,6,2,2,0,1,3,3,0,36,11.1,349,19:22,6,35,100,98,50.5,2025-06-18
151,Seth Jones,30,FLA,D,23,4,5,9,11,10,3,1,0,1,3,2,0,29,13.8,587,25:30,31,48,0,0,,2025-06-18
152,Mathieu Joseph,27,STL,RW,3,1,0,1,1,10,1,0,0,0,0,0,0,6,16.7,41,13:35,8,12,0,0,,2025-06-18
153,David Kämpf,30,TOR,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,13,12:37,0,3,4,7,36.4,2025-06-18
154,Evander Kane,33,EDM,LW,21,6,6,12,4,44,6,0,0,0,5,1,0,47,12.8,346,16:29,7,95,12,13,48.0,2025-06-18
155,Kasperi Kapanen,28,EDM,RW,12,3,3,6,4,18,3,0,0,1,3,0,0,27,11.1,162,13:28,5,43,2,4,33.3,2025-06-18
156,Oliver Kapanen,21,MTL,C,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,6:56,0,2,8,10,44.4,2025-06-18
157,Kirill Kaprizov,27,MIN,LW,6,5,4,9,-1,4,2,3,0,0,4,0,0,22,22.7,139,23:08,10,6,0,0,,2025-06-18
158,William Karlsson,32,VEG,C,11,3,3,6,5,0,2,0,1,0,1,1,1,17,17.6,204,18:34,8,2,63,57,52.5,2025-06-18
159,Parker Kelly,25,COL,F,7,0,1,1,4,18,0,0,0,0,1,0,0,6,0.0,88,12:38,7,44,1,6,14.3,2025-06-18
160,Adrian Kempe,28,LAK,LW,6,4,6,10,-8,4,4,0,0,0,0,6,0,21,19.0,130,21:44,8,12,4,3,57.1,2025-06-18
161,Joel Kiviranta,28,COL,F,7,0,0,0,0,2,0,0,0,0,0,0,0,9,0.0,71,10:05,2,20,0,0,,2025-06-18
162,Tyler Kleven,23,OTT,D,6,0,2,2,0,6,0,0,0,0,2,0,0,4,0.0,95,15:47,8,16,0,0,,2025-06-18
163,John Klingberg,32,EDM,D,19,1,3,4,3,2,0,1,0,0,3,0,0,23,4.3,363,19:08,32,24,0,0,,2025-06-18
164,Matthew Knies,22,TOR,LW,13,5,2,7,-4,6,3,2,0,1,2,0,0,29,17.2,257,19:48,8,31,0,0,,2025-06-18
165,Keegan Kolesar,27,VEG,RW,11,0,1,1,-2,6,0,0,0,0,1,0,0,7,0.0,125,11:21,5,53,1,1,50.0,2025-06-18
166,Anže Kopitar,37,LAK,C,6,2,7,9,-6,0,1,1,0,0,4,3,0,8,25.0,129,21:29,6,8,80,58,58.0,2025-06-18
167,Kaedan Korczak,24,VEG,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,13:04,1,1,0,0,,2025-06-18
168,Jesperi Kotkaniemi,24,CAR,C,14,0,4,4,1,14,0,0,0,0,2,2,0,19,0.0,189,13:30,9,32,63,72,46.7,2025-06-18
169,Johnathan Kovacevic,27,NJD,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,42,14:00,0,8,0,0,,2025-06-18
170,Nikita Kucherov,31,TBL,RW,5,0,4,4,0,2,0,0,0,0,3,1,0,7,0.0,115,22:59,1,5,0,0,,2025-06-18
171,Brett Kulak,31,EDM,D,22,1,4,5,9,8,1,0,0,0,4,0,0,25,4.0,515,23:25,43,17,0,0,,2025-06-18
172,Dmitry Kulikov,34,FLA,D,23,2,3,5,6,14,2,0,0,1,3,0,0,21,9.5,382,16:36,22,84,0,0,,2025-06-18
173,Andrei Kuzmenko,28,LAK,F,6,3,3,6,-5,4,0,3,0,1,2,1,0,17,17.6,110,18:15,3,5,0,0,,2025-06-18
174,Jordan Kyrou,26,STL,C,7,3,0,3,-4,0,1,2,0,0,0,0,0,18,16.7,123,17:34,1,6,0,0,,2025-06-18
175,Alex Laferriere,23,LAK,RW,6,0,3,3,1,2,0,0,0,0,3,0,0,10,0.0,110,18:15,4,20,1,6,14.3,2025-06-18
176,Patrik Laine,26,MTL,RW,2,0,1,1,-2,2,0,0,0,0,0,1,0,6,0.0,23,11:42,1,4,0,1,0.0,2025-06-18
177,Gabriel Landeskog,32,COL,LW,5,1,3,4,4,0,1,0,0,0,3,0,0,10,10.0,86,17:13,3,16,4,7,36.4,2025-06-18
178,Scott Laughton,30,TOR,C,13,0,2,2,-3,8,0,0,0,0,2,0,0,6,0.0,180,13:52,11,41,72,54,57.1,2025-06-18
179,Nick Leddy,33,STL,D,7,0,1,1,-4,2,0,0,0,0,1,0,0,1,0.0,99,14:11,3,6,0,0,,2025-06-18
180,Artturi Lehkonen,29,COL,LW,7,3,1,4,3,4,3,0,0,0,1,0,0,21,14.3,135,19:13,5,16,0,0,,2025-06-18
181,Ryan Leonard,20,WSH,RW,8,0,1,1,1,2,0,0,0,0,1,0,0,12,0.0,81,10:09,4,11,0,1,0.0,2025-06-18
